date,open,high,low,close,volume,amount,turn,pctChg
2020-06-02,3969.9521,3991.7761,3958.9774,3983.5677,14430306000,195563304256.3,0.517472,0.307894
2020-06-03,4001.1708,4018.6759,3982.9299,3983.6477,13659748300,200882767676.9,0.489835,0.002008
2020-06-04,3998.1636,3999.8051,3968.5723,3982.1851,10427773700,149057855837.5,0.373841,-0.036715
2020-06-05,3988.2239,4001.2509,3967.926,4001.2509,10244394200,154311342981.8,0.366945,0.478777
2020-06-08,4023.606,4050.2213,4016.1015,4021.9549,13792581300,193047518687.6,0.493991,0.517438
2020-06-09,4027.5613,4052.1557,4016.3387,4047.0293,11530447900,166533966010.0,0.412563,0.623438
2020-06-10,4046.2317,4046.2317,4024.4185,4039.7051,11226572800,166778642366.2,0.401691,-0.180977
2020-06-11,4031.7396,4043.0123,3979.7522,3995.8846,12730894100,197079441861.1,0.455463,-1.084745
2020-06-12,3931.6236,4011.0591,3927.2491,4003.0829,13416664900,193504046742.3,0.47986,0.180143
2020-06-15,3982.9672,4007.1396,3954.9883,3954.9883,13129786000,211125336143.8,0.469459,-1.201439
2020-06-16,3995.5786,4014.5702,3987.8637,4014.5702,11105153900,185104029158.9,0.403935,1.5065
2020-06-17,4018.6094,4018.6094,3992.1339,4017.5941,10560579900,176977503611.2,0.384127,0.075323
2020-06-18,4009.7831,4047.5566,4000.9008,4044.3842,13814876100,210192918146.2,0.502112,0.666819
2020-06-19,4047.0483,4109.3602,4043.4925,4098.7095,15294699000,255549797299.6,0.555896,1.343228
2020-06-22,4097.5071,4126.9421,4088.7822,4102.0459,15582946500,259200520725.7,0.55675,0.081401
2020-06-23,4098.0373,4124.725,4080.7533,4121.7944,12922951000,234806510834.5,0.469658,0.48143
2020-06-24,4128.1003,4144.6782,4123.3582,4138.9895,12171246500,224551430008.0,0.442326,0.417175
2020-06-29,4127.9348,4137.3696,4092.5352,4109.7164,13086585400,226522059762.9,0.475579,-0.707252
2020-06-30,4130.0028,4174.4236,4129.7754,4163.9637,12593352100,227935704488.9,0.457262,1.319977
2020-07-01,4172.6425,4247.7835,4163.4954,4247.7835,16999045600,305711799762.0,0.617228,2.012981
2020-07-02,4239.408,4340.1039,4238.1164,4335.8445,25293936800,399571526695.3,0.918266,2.073105
2020-07-03,4353.1937,4419.5955,4348.4535,4419.5955,29048553900,442335024266.1,1.054557,1.931596
2020-07-06,4465.8081,4678.1121,4465.8081,4670.0949,40582102500,597438217716.0,1.472725,5.667926
2020-07-07,4739.6104,4796.3155,4688.0574,4698.1264,40600855300,635254742706.0,1.472791,0.600234
2020-07-08,4692.8621,4803.3643,4670.6501,4774.0042,34807484700,532849825964.5,1.26264,1.615065
2020-07-09,4770.0769,4854.1201,4757.2943,4840.7712,35104689300,556718732098.9,1.273421,1.398553
2020-07-10,4796.0873,4821.3745,4734.4725,4753.1333,31694965100,510472055095.9,1.149715,-1.810412
2020-07-13,4742.3738,4878.0773,4741.8743,4852.9612,32164544600,541105098721.0,1.166369,2.100255
2020-07-14,4836.1655,4860.4404,4729.9258,4806.6902,29724198500,511211048184.9,1.07761,-0.953459
2020-07-15,4821.5155,4837.4757,4723.3608,4744.4687,27238900600,486748347680.4,0.987509,-1.294477
2020-07-16,4741.5295,4772.5638,4513.6537,4516.2532,28465713300,511237962884.2,1.031907,-4.810138
2020-07-17,4524.7717,4601.3733,4485.8214,4544.7007,20737556300,372973887046.0,0.751579,0.629892
2020-07-20,4597.2038,4681.9431,4534.2305,4680.3046,24606891400,416714222275.7,0.891812,2.983781
2020-07-21,4697.5026,4714.2925,4661.444,4691.0425,20041565900,356069805762.6,0.725496,0.229427
2020-07-22,4682.6575,4790.4491,4675.3488,4714.4454,22419921100,386470859914.3,0.811343,0.498885
2020-07-23,4668.7401,4731.4004,4607.6585,4712.4357,23431456900,405175268660.9,0.847949,-0.042629
2020-07-24,4679.0273,4691.698,4479.3928,4505.5906,24390520300,437726712279.7,0.882656,-4.389346
2020-07-27,4535.0053,4558.1189,4482.4408,4528.45,17142055100,301893370163.2,0.620343,0.507356
2020-07-28,4567.6691,4590.2496,4537.6849,4568.2576,16276849800,292835785345.2,0.589033,0.879056
2020-07-29,4559.1634,4680.558,4548.8535,4679.008,18669530500,350432649160.5,0.675609,2.424347
2020-07-30,4689.7632,4704.6305,4649.7677,4656.1506,16696756600,324009242692.4,0.604209,-0.48851
2020-07-31,4652.1824,4741.8084,4621.9635,4695.0462,18483902600,351119312415.0,0.668881,0.83536
2020-08-03,4735.8985,4771.3694,4720.025,4771.3108,21477623900,401914824928.3,0.777215,1.624363
